FP,ExtFP,EStateFP,GraphFP,MACCSFP,PubchemFP,SubFP,SubFPC,KRFP,KRFPC,AD2D,APC2D,Total features,Train Logloss,Validation Logloss,Test Logloss,Train AUC,Validation AUC,Test AUC,Iteration
1024,1024,79,0,0,881,307,307,0,4860,780,780,10042,0.31144897584357867,0.5525804985890438,0.4562873191801886,0.9818584070796459,0.7749043409420767,0.896762965541246,0
1024,1024,79,0,0,881,307,307,4860,0,780,780,10042,0.36126833283846993,0.5486834294107142,0.4768895469759161,0.971734677155031,0.7845362184984827,0.8994778976679431,0
1024,1024,79,0,0,0,307,307,4860,4860,780,780,14021,0.34871048952266825,0.5612575385250252,0.4647785353584537,0.9751925598164535,0.7676474468927299,0.8994082840236686,0
1024,1024,79,0,0,881,0,307,4860,4860,780,780,14595,0.30979083223643455,0.5522939386241773,0.4528339015382369,0.9839601769911503,0.7764216915160311,0.8959276018099548,0
1024,1024,79,0,0,881,307,0,4860,4860,780,780,14595,0.3086051407524407,0.557652606139679,0.4506725853811528,0.9829564077351689,0.7698245151075339,0.9028193525931082,0
1024,1024,79,0,166,0,307,307,4860,4860,780,780,14187,0.30350187337521345,0.552486809171374,0.44299792996704895,0.98320222877745,0.7772793244491358,0.901496693351897,0
1024,1024,79,0,166,0,307,307,4860,4860,0,780,13407,0.30791010655751844,0.5546076483353279,0.4470911008905912,0.9827884300229432,0.7741786515371422,0.9023320570831883,0
1024,1024,79,0,166,0,307,307,4860,4860,780,0,13407,0.3106451093045333,0.5601567992897306,0.4472972651607032,0.9816781383153064,0.7704182609842987,0.9009397841977028,0
1024,1024,79,0,166,0,307,307,0,4860,780,780,9327,0.33236336927214816,0.5562126210258808,0.4597707438473489,0.976667486070141,0.7696265998152791,0.8940480334145493,0
1024,1024,79,0,166,0,307,307,4860,0,780,780,9327,0.30678760146871975,0.5490665116838271,0.45350751576407833,0.9824852507374632,0.7787307032590053,0.9014966933518971,0
